index,Artist Name,Artist_id,Track Name,Track ID,Popularity,acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Mode,Loudness,Tempo,Time_signature,Speechiness,Valence,Genre
14,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Love The Way You Lie,15JINEqzVMv3SvJTAXAKED,82,0.241,0.749,263373,0.925,0.0,10,0.52,1,-5.034,86.989,4,0.227,0.641,hip hop
0,Mac Miller,4LLpKhyESsyAXpc4laK94U,The Spins,51pshtuYkgUQnt5huMPbKL,81,0.0135,0.794,195873,0.766,0.0,9,0.0785,0,-3.894,127.007,4,0.0377,0.55,hip hop
2,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Just the Way You Are,7BqBn9nzAq8spo5e7cZ0dJ,81,0.0134,0.635,220734,0.841,0.0,5,0.0622,1,-5.379,109.021,4,0.0422,0.424,pop
3,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Talking to the Moon,161DnLWsx1i3u1JT05lzqU,81,0.511,0.498,217867,0.59,0.0,1,0.107,0,-4.721,145.867,4,0.032,0.0784,pop
25,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Baby,6epn3r7S14KUqlReYr77hA,81,0.0401,0.728,214240,0.859,0.0,5,0.111,0,-5.237,65.043,4,0.137,0.535,pop
13,Train,3FUY2gzHeIiaesXtOAdB7A,"Hey, Soul Sister",4HlFJV71xXKIGcU3kRyttv,81,0.185,0.673,216773,0.886,0.0,1,0.0826,0,-4.44,97.012,4,0.0431,0.795,pop
1,Miguel,360IAlyVv4PCEVjgyMZrxK,Sure Thing,0JXXNGljqupsJaZsgSbMZV,80,0.0267,0.684,195373,0.607,0.000307,11,0.191,0,-8.127,81.001,4,0.1,0.498,hip hop
37,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Not Afraid,7Ie9W94M7OjPoZVV216Xus,80,0.529,0.855,248133,0.954,0.0,0,0.205,0,-1.19,114.635,5,0.264,0.668,hip hop
17,Kesha,6LqNN22kT3074XbTVUrhzX,TiK ToK,0HPD5WQqrq7wPWR7P7Dw1i,80,0.0991,0.755,199693,0.837,0.0,2,0.289,0,-2.718,120.028,4,0.142,0.714,pop
45,Taio Cruz,6MF9fzBmfXghAz953czmBC,Dynamite,2CEgGE6aESpnmtfiZwYlbV,79,0.00379,0.751,202613,0.783,0.0,4,0.036,1,-3.724,119.975,4,0.0859,0.816,edm
6,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Runaway,3DK6m7It6Pw857FcQftMds,79,0.219,0.374,547733,0.568,0.00219,1,0.513,0,-3.825,84.733,4,0.109,0.111,rap
11,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Super Bass,3hlksXnvbKogFdPbpO9vel,79,0.271,0.723,200013,0.86,4.56e-06,11,0.598,1,-4.357,126.979,4,0.203,0.667,pop
15,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,POWER,2gZUPNdnz5Y45eiGxpHGSc,78,0.0161,0.542,292093,0.914,0.0,0,0.744,0,-4.747,153.993,4,0.113,0.576,rap
4,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Devil In A New Dress,1UGD3lW3tDmgZfAVDh6w7r,78,0.0175,0.435,351947,0.76,0.0,8,0.158,0,-4.935,80.082,4,0.0721,0.206,rap
24,Usher,23zg3TcAtWQy7J6upgbUnj,DJ Got Us Fallin' In Love (feat. Pitbull),4356Typ82hUiFAynbLYbPn,78,0.0338,0.663,220800,0.861,0.0,7,0.082,0,-3.398,119.963,4,0.109,0.654,pop
9,Miguel,360IAlyVv4PCEVjgyMZrxK,Girl With The Tattoo Enter.lewd,1eUGmzzvahJjOSWgDHuRlv,78,0.856,0.372,102813,0.239,0.000175,6,0.168,0,-11.314,113.451,4,0.0296,0.127,hip hop
28,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Only Girl (In The World),2ENexcMEMsYk0rVJigVD3i,78,0.112,0.789,235493,0.706,1.71e-05,11,0.0586,0,-4.233,125.911,4,0.0429,0.638,pop
31,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,S&M,7ySUcLPVX7KudhnmNcgY2D,77,0.0105,0.769,243600,0.684,0.000125,1,0.0887,1,-5.019,127.972,4,0.0411,0.835,pop
7,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Grenade,2tJulUYLDKOg9XrtVkMgcJ,77,0.148,0.704,222091,0.558,0.0,2,0.107,0,-7.273,110.444,4,0.0542,0.245,pop
5,Waka Flocka Flame,6f4XkbvYlXMH0QgVRzW0sM,No Hands (feat. Roscoe Dash & Wale),03tqyYWC9Um2ZqU0ZN849H,76,0.00544,0.76,263773,0.595,0.0,1,0.241,1,-6.366,131.497,4,0.0391,0.361,rap
49,P!nk,1KCSPY1glIKqW2TotWuXOR,Raise Your Glass,1gv4xPanImH17bKZ9rOveR,76,0.0048,0.7,202960,0.709,0.0,7,0.029,1,-5.006,122.019,4,0.0838,0.624,pop
47,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,Just Can’t Get Enough,3JA9Jsuxr4xgHXEawAdCp4,76,0.186,0.659,219427,0.628,0.0,0,0.105,0,-8.685,94.05,4,0.179,0.262,pop
98,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Nothing For You (Feat. Bruno Mars),2A5YAFeEwGi7KlGMYRf5dX,76,0.578,0.553,107703,0.798,0.0,10,0.599,1,-5.992,103.948,4,0.109,0.378,hip hop
29,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,Cooler Than Me - Single Mix,2V4bv1fNWfTcyRJKmej6Sj,76,0.179,0.768,213293,0.82,0.0,7,0.689,0,-4.63,129.965,4,0.0474,0.625,edm
19,Dr. Dog,4mLJ3XfOM5FPjSAWdQ2Jk7,Where'd All the Time Go?,0UV5zxRMz6AO4ZwUOZNIKI,76,0.132,0.454,234800,0.82,0.000969,2,0.115,1,-4.193,166.303,4,0.0567,0.575,rock
27,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,All Of The Lights,22L7bfCiAkJo5xGSQgmiIO,75,0.0796,0.531,299613,0.803,1.71e-05,1,0.176,1,-3.284,142.113,4,0.0717,0.221,rap
34,Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,Mr. Rager,393MDhe62s8hbH8ETrlxe5,75,0.389,0.671,294227,0.726,0.882,7,0.14,1,-8.689,102.002,4,0.0272,0.581,hip hop
96,Flo Rida,0jnsk9HBra6NMjO2oANoPY,Club Can't Handle Me (feat. David Guetta),6ebkx7Q5tTxrCxKq4GYj0Y,75,0.0283,0.616,234560,0.869,0.0,0,0.064,1,-3.911,127.966,4,0.0327,0.473,edm
70,Kesha,6LqNN22kT3074XbTVUrhzX,Backstabber,4GRFzKI7jTZ3kbMfouc7bn,75,0.0666,0.6,186840,0.939,6.18e-06,7,0.34,1,-1.794,159.941,4,0.19,0.833,pop
39,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Nothin' on You (feat. Bruno Mars),59dLtGBS26x7kc0rHbaPrq,75,0.386,0.688,268320,0.853,0.0,10,0.0862,1,-5.814,103.993,4,0.0493,0.743,hip hop
44,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Airplanes (feat. Hayley Williams of Paramore),6lV2MSQmRIkycDScNtrBXO,74,0.11,0.66,180480,0.867,0.0,6,0.0368,0,-4.285,93.033,4,0.116,0.377,hip hop
46,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Count on Me,7l1qvxWjxcKpB9PCtBuTbU,74,0.851,0.589,197470,0.389,0.0,0,0.0772,1,-5.972,89.1,4,0.028,0.501,pop
67,Nelly,2gBjLmx6zQnFGQJCAQpRgw,Just A Dream,3ZdJffjzJWFimSQyxgGIxN,74,0.0421,0.531,237800,0.752,0.0,1,0.12,1,-6.161,89.917,4,0.0305,0.103,hip hop
124,Taio Cruz,6MF9fzBmfXghAz953czmBC,Break Your Heart,7ElF5zxOwYP4qVSWVvse3W,74,0.0327,0.607,201547,0.934,0.0,3,0.0909,1,-4.217,122.01,4,0.0314,0.568,edm
26,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Marry You,22PMfvdz35fFKYnJyMn077,74,0.332,0.621,230192,0.82,0.0,10,0.104,1,-4.865,144.905,4,0.0367,0.452,pop
